"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"PM24-Arabian Dates Khidri Dates 500 gm","PM","Packaging","PM","0.000","GENERAL","PM","18%","48191090"
"PM24-Arabian Dates Mabroom Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Mazafati Dates 500 gm","PM","Packaging","PM","0.000","GENERAL","PM","18%","48191090"
"PM24-Arabian Dates Rabia Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Safavi Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Arabian Dates Segai Dates 500 gm","PM","Packaging","PM","0.000","GENERAL","PM","18%","48191090"
"PM24-Arabian Dates Sukkari Dates Top 500 gm","PM","Packaging","Top","0.000","Istore","PM","18%","48191090"
"PM24-Azmah Pouch 500 gm","PM","Packaging","Pouch","0.000","JTC","PM","18%","3923"
"PM24-Azmah Pouches 500 gm (BOP Khandar)","PM","Packaging","Pouch","0.000","JTC","PM","18%","3923"
"PM24-Bag 12/19/30 x 350 Plastic Bags Plain / Printed 350 gm","PM","Packaging","Liner","0.000","GENERAL","PM","18%","39231010"
"PM24-BAPS Choco Crunch Bar Pouch 30 gm Digital","PM","Packaging","Pouch Roll","0.000","BAPS","PM","18%","48219090"
"PM24-BAPS Choco Crunch Energy Bar Monocarton 180 gm","PM","Packaging","Monocarton ","0.000","BAPS","PM","18%","48211090"
"PM24-BAPS-Choco Crunch Energy Bar Pouch 30 gm","PM","Packaging","Pouch","0.000","BAPS","PM","18%","3920"
"PM24-Baps-Choco Crunch-Roll Digital","PM","Packaging","Pouch Roll","0.000","BAPS","PM","18%","3920"
"PM24-BAPS Fig And Date Bar Pouch 30 gm Digital","PM","Packaging","Pouch Roll","0.000","BAPS","PM","18%","48219090"
"PM24-BAPS Fig And Date Energy Bar Monocarton 180 gm","PM","Packaging","Monocarton ","0.000","BAPS","PM","18%","48211090"
"PM24-BAPS Fig And Date Energy Bar Pouch 30 gm","PM","Packaging","Pouch","0.000","BAPS","PM","18%","3920"
"PM24-BAPS Hazelnut Magic Bar Pouch 30 gm Digital","PM","Packaging","Pouch Roll","0.000","BAPS","PM","18%","48219090"
"PM24-BAPS Hazelnut Magic Energy Bar Monocarton 180 gm","PM","Packaging","Monocarton ","0.000","BAPS","PM","18%","48211090"
"PM24-BAPS-Hazelnut Magic Energy Bar Pouch 30 gm","PM","Packaging","Pouch","0.000","BAPS","PM","18%","3920"
"PM24-BAPS Oats And Apricot Bar Pouch 30 gm Digital","PM","Packaging","Pouch Roll","0.000","BAPS","PM","18%","48219090"
"PM24-BAPS-Oats And Apricot Energy Bar Pouch 30 gm","PM","Packaging","Pouch","0.000","BAPS","PM","18%","3920"
"PM24-BAPS Oats & Apricot Energy Bar Monocarton 180 gm","PM","Packaging","Monocarton ","0.000","BAPS","PM","18%","48211090"
"PM24-Bar Candor Roll","PM","Packaging","Roll","0.000","GENERAL","PM","18%","48211020"
"PM24-BB Royal Ajwa Dates 250 gm Tub","PM","Packaging","Tub","0.000","BIG BASKET","PM","18%","39231090"
